Organism Name	bases	rel_bases
Homo sapiens	9.39009484567e+15	0.756339210654
Mus musculus	5.93915486862e+14	0.0478378097252
marine metagenome	6.53052683301e+13	0.00526011035161
Arabidopsis thaliana	6.51028460476e+13	0.00524380594662
Drosophila melanogaster	5.60661627212e+13	0.0045159327945
Bos taurus	5.58863094947e+13	0.00450144624781
Oryza sativa	5.25971897833e+13	0.00423651918933
human gut metagenome	4.98939094337e+13	0.00401877943703
Anopheles gambiae	4.59170917166e+13	0.00369846071581
Danio rerio	4.27205611703e+13	0.0034409913899
Canis lupus familiaris	4.0155951089e+13	0.00323442104142
Zea mays	3.72029605052e+13	0.00299656800543
Macaca mulatta	3.68198008167e+13	0.00296570583619
Sus scrofa	3.10803653493e+13	0.00250341443633
human metagenome	3.0744289574e+13	0.00247634471118
soil metagenome	3.0123126025e+13	0.0024263121656
Saccharomyces cerevisiae	2.9960602129e+13	0.00241322143572
Populus trichocarpa	2.87320088955e+13	0.00231426255919
Triticum aestivum	2.82231985656e+13	0.00227327967141
Plasmodium falciparum	2.61683873831e+13	0.00210777183647
Rattus norvegicus	2.60460981618e+13	0.00209792186853
Escherichia coli	2.49798921104e+13	0.00201204271006
Ovis aries	2.09114953853e+13	0.0016843476209
Streptococcus pneumoniae	2.02533241309e+13	0.00163133423443
Panicum virgatum	1.99275208631e+13	0.00160509192374
Glycine max	1.95900038365e+13	0.00157790611085
Caenorhabditis elegans	1.9346985861e+13	0.00155833186514
Salmonella enterica	1.86665160333e+13	0.00150352240679
Oryza sativa Japonica Group	1.86585635618e+13	0.00150288186309
Sorghum bicolor	1.80835587604e+13	0.00145656724276
Gallus gallus	1.80457094307e+13	0.00145351861199
Chlorocebus sabaeus	1.76456334494e+13	0.00142129389468
Staphylococcus aureus	1.63643339474e+13	0.00131808971305
Equus caballus	1.56110030237e+13	0.00125741154893
Gossypium hirsutum	1.5052735615e+13	0.00121244506689
Mycobacterium tuberculosis	1.38682374174e+13	0.00111703789087
Capra hircus	1.14320623196e+13	0.000920812529911
Felis catus	1.08689768662e+13	0.000875457971265
Solanum lycopersicum	1.05302653269e+13	0.000848175944571
Hordeum vulgare subsp. vulgare	1.01976815804e+13	0.000821387490097
metagenome	9.94133011237e+12	0.000800739278317
Setaria viridis	9.90604260812e+12	0.000797896993596
Brachypodium distachyon	9.14498610318e+12	0.000736596560994
Hordeum vulgare	8.9946828134e+12	0.000724490158085
Panicum hallii	8.98095365878e+12	0.000723384322825
Salmonella enterica subsp. enterica	8.98054098442e+12	0.000723351083353
gut metagenome	8.88165139997e+12	0.000715385874111
Zea mays subsp. mays	8.07739835576e+12	0.000650606111753
Brassica napus	7.95793005837e+12	0.00064098335935
rhizosphere metagenome	7.72255039532e+12	0.00062202435292
Mus musculus musculus	7.29727110096e+12	0.000587769597127
freshwater metagenome	7.23674276274e+12	0.000582894251745
Pan troglodytes	6.9881186844e+12	0.000562868454108
Triticum turgidum	6.98224396939e+12	0.000562395266416
Picea abies	6.68961770654e+12	0.000538825247125
Mus musculus domesticus	6.29745176615e+12	0.000507237655873
Listeria monocytogenes	6.18584670859e+12	0.000498248259863
Apis mellifera	5.88385583191e+12	0.000473923953768
Macaca fascicularis	5.79906556132e+12	0.000467094394814
Salmo salar	5.77429151398e+12	0.000465098932178
Neisseria meningitidis	5.56168514316e+12	0.000447974234576
Klebsiella pneumoniae	5.17613795946e+12	0.000416919760965
Phaseolus vulgaris	5.14484018588e+12	0.000414398835058
Gasterosteus aculeatus	5.08697003067e+12	0.000409737596995
Manihot esculenta	4.90638583323e+12	0.000395192173163
Xenopus tropicalis	4.90091057497e+12	0.000394751160311
marine sediment metagenome	4.82587887996e+12	0.000388707620399
Chlamydomonas reinhardtii	4.82332162461e+12	0.000388501642449
Campylobacter jejuni	4.7843166957e+12	0.000385359932207
Schizosaccharomyces pombe	4.49020905154e+12	0.000361670592846
Pinus taeda	4.45371871413e+12	0.000358731424132
Oncorhynchus mykiss	4.28225535678e+12	0.000344920651985
Streptococcus pyogenes	4.2575927812e+12	0.000342934168008
Medicago truncatula	4.21700741546e+12	0.000339665159123
Solanum tuberosum	4.15115068942e+12	0.000334360630787
Anopheles arabiensis	4.13666200054e+12	0.000333193617706
Latimeria chalumnae	4.11414980179e+12	0.000331380339043
Clostridioides difficile	4.01326929885e+12	0.000323254768298
Brassica rapa	3.94120054955e+12	0.000317449883272
Oryza sativa Indica Group	3.92626398721e+12	0.000316246795556
unidentified	3.88749317501e+12	0.000313123942594
Picea glauca	3.82722532468e+12	0.000308269578598
Vitis vinifera	3.82316840192e+12	0.000307942807696
mouse gut metagenome	3.80154071469e+12	0.000306200773334
Campylobacter sp.	3.76987679225e+12	0.00030365035542
Aedes aegypti	3.75909354423e+12	0.000302781802607
Ursus maritimus	3.66396376542e+12	0.000295119432524
activated sludge metagenome	3.63753324804e+12	0.000292990547036
Capsella grandiflora	3.5316755537e+12	0.000284464080979
human skin metagenome	3.49906203498e+12	0.000281837176415
Pseudomonas aeruginosa	3.45054251025e+12	0.000277929098846
Gossypium barbadense	3.43992110301e+12	0.000277073581739
Haemonchus contortus	3.41541320425e+12	0.000275099556439
Neisseria gonorrhoeae	3.40520606058e+12	0.000274277406811
Populus tremula	3.40289405134e+12	0.000274091182574
Oryctolagus cuniculus	3.35303548264e+12	0.000270075249709
Xenopus laevis	3.34407966669e+12	0.000269353890141
aquatic metagenome	3.3206040941e+12	0.000267463015093
Schistosoma mansoni	3.19646640044e+12	0.000257464159194
Saccharomyces cerevisiae S288C	3.06185024703e+12	0.000246621300108
Bos grunniens	3.04438290654e+12	0.000245214367086
metagenomes	3.02467985466e+12	0.000243627355352
Plasmodium vivax	2.99323088935e+12	0.000241094251481
Diabrotica virgifera virgifera	2.96727480123e+12	0.000239003579606
human oral metagenome	2.96050287283e+12	0.000238458124521
Neurospora crassa	2.95801237437e+12	0.000238257523604
Gorilla gorilla gorilla	2.93291926281e+12	0.000236236361464
Equus caballus ferus	2.88387069139e+12	0.00023228567104
Escherichia coli str. K-12 substr. MG1655	2.87598229067e+12	0.000231650288025
Acinetobacter baumannii	2.84256613666e+12	0.000228958734003
Picea engelmannii x Picea glauca	2.76330900777e+12	0.00022257485021
Nicotiana tabacum	2.7255088712e+12	0.000219530181767
wastewater metagenome	2.72053808928e+12	0.000219129802715
Oryzias latipes	2.63773417343e+12	0.00021246023767
Populus	2.62140652065e+12	0.000211145102496
mixed sample	2.58363078585e+12	0.000208102399529
Glycine soja	2.57886946181e+12	0.000207718891575
Streptococcus agalactiae	2.57546602432e+12	0.00020744475662
Lolium perenne	2.54766655314e+12	0.000205205606704
Papio anubis	2.53982697349e+12	0.000204574156055
Salmonella enterica subsp. enterica serovar Typhimurium	2.53794040321e+12	0.000204422199434
synthetic construct	2.53350676964e+12	0.000204065085798
groundwater metagenome	2.43026882172e+12	0.000195749631128
Canis lupus	2.42949266597e+12	0.000195687114504
Rhinopithecus roxellana	2.4246313285e+12	0.000195295550819
Pinus contorta	2.42130549084e+12	0.000195027666258
Cricetulus griseus	2.41909207119e+12	0.000194849383067
Lotus japonicus	2.39169593917e+12	0.000192642720706
Bos indicus	2.38083617238e+12	0.000191768004574
Aedes albopictus	2.3764220215e+12	0.000191412460201
viral metagenome	2.36692279902e+12	0.000190647331141
Cajanus cajan	2.35279569382e+12	0.000189509442358
Microcebus murinus	2.31289126261e+12	0.000186295280361
bioreactor metagenome	2.30614384146e+12	0.00018575179925
bovine gut metagenome	2.28752711288e+12	0.000184252287047
Miscanthus sinensis	2.2681150404e+12	0.000182688712683
Callithrix jacchus	2.26124601624e+12	0.000182135436875
pig gut metagenome	2.25752838042e+12	0.000181835994347
Brassica oleracea	2.25529568044e+12	0.000181656158193
Carassius auratus	2.23260566767e+12	0.000179828557234
Schmidtea mediterranea	2.22706106524e+12	0.000179381958952
Populus deltoides	2.22123812229e+12	0.000178912941317
Nothobranchius furzeri	2.17409212363e+12	0.000175115496457
Salmonella enterica subsp. enterica serovar Typhi	2.1733685892e+12	0.000175057218296
Pseudotsuga menziesii	2.16821865438e+12	0.000174642409105
Drosophila simulans	2.1447667668e+12	0.000172753441802
Bombyx mori	2.13185445565e+12	0.00017171340042
Enterococcus faecium	2.12000574485e+12	0.000170759028316
