# Chromosome lengths (order matters):
# CRM chr1	195471971
# CRM chr2	182113224
# CRM chr3	160039680
# CRM chr4	156508116
# CRM chr5	151834684
# CRM chr6	149736546
# CRM chr7	145441459
# CRM chr8	129401213
# CRM chr9	124595110
# CRM chr10	130694993
# CRM chr11	122082543
# CRM chr12	120129022
# CRM chr13	120421639
# CRM chr14	124902244
# CRM chr15	104043685
# CRM chr16	98207768
# CRM chr17	94987271
# CRM chr18	90702639
# CRM chr19	61431566
# CRM chrX	171031299
# CRM chrY	91744698
# CRM chrM	16299
# Mapped	reads count by iteration
# MAPPED 1 34
# MAPPED 2 63
HWI-D00733:75:C8DV0ANXX:1:1105:2070:78056	chr13	90613529	1	59	90613111	90613584
HWI-D00733:75:C8DV0ANXX:1:1109:7361:12468	chr4	119161418	1	75	119160272	119161514
HWI-D00733:75:C8DV0ANXX:1:1114:18354:49945	chr17	87927844	1	75	87927003	87928030
HWI-D00733:75:C8DV0ANXX:1:1209:6426:86190	chr12	86351256	1	56	86350922	86351418
HWI-D00733:75:C8DV0ANXX:1:1307:7614:7609	chr2	72588378	0	75	72588220	72589541
HWI-D00733:75:C8DV0ANXX:1:1312:10372:79510	chr9	46624559	0	75	46624321	46625077
HWI-D00733:75:C8DV0ANXX:1:1312:8488:53175	chr18	65877474	0	75	65877375	65877899
HWI-D00733:75:C8DV0ANXX:1:2102:14471:82767	chr10	5028344	0	75	5028065	5028389
HWI-D00733:75:C8DV0ANXX:1:2106:9326:15570	chr15	15499626	0	75	15499336	15500540
HWI-D00733:75:C8DV0ANXX:1:2109:16385:59135	chr5	65149888	0	75	65149064	65150329
HWI-D00733:75:C8DV0ANXX:1:2109:17388:61628	chr4	28229423	1	75	28229420	28229498
HWI-D00733:75:C8DV0ANXX:1:2110:21057:17436	chr3	136259261	0	59	136259203	136259814
HWI-D00733:75:C8DV0ANXX:1:2111:7661:96486	chr1	51847205	0	56	51847150	51847792
HWI-D00733:75:C8DV0ANXX:1:2201:13586:41998	chr11	24321914	0	75	24321702	24322407
HWI-D00733:75:C8DV0ANXX:1:2216:8203:44067~2~	chr17	45241848	1	57	45241848	45242665
HWI-D00733:75:C8DV0ANXX:1:2311:12327:73744	chr1	52445172	1	75	52444711	52445446
HWI-D00733:75:C8DV0ANXX:2:1101:3983:52176	chr10	10164388	0	75	10164214	10164940
HWI-D00733:75:C8DV0ANXX:2:1105:8750:20181	chr3	72630535	0	75	72630418	72631430
HWI-D00733:75:C8DV0ANXX:2:1111:12169:7048	chr1	49652452	1	75	49651471	49652564
HWI-D00733:75:C8DV0ANXX:2:1112:1938:82015	chr4	86740366	1	75	86740277	86740704
HWI-D00733:75:C8DV0ANXX:2:1206:10165:90922	chr6	51212235	1	75	51212039	51212493
HWI-D00733:75:C8DV0ANXX:2:1309:13584:34088	chr17	82479846	0	75	82479530	82480194
HWI-D00733:75:C8DV0ANXX:2:1310:16130:38619	chr17	87545073	1	75	87544763	87545094
HWI-D00733:75:C8DV0ANXX:2:2101:4666:18965	chr10	63874390	1	75	63874159	63874599
HWI-D00733:75:C8DV0ANXX:2:2201:11749:37241	chr1	29815513	0	75	29815121	29815575
HWI-D00733:75:C8DV0ANXX:2:2208:19000:83392	chr14	30943249	1	22	30943056	30943267|||HWI-D00733:75:C8DV0ANXX:2:2208:19000:83392~2~	chr14	30842724	1	53	30842724	30843559
HWI-D00733:75:C8DV0ANXX:2:2212:12828:70940	chr6	21371292	0	75	21371141	21371846
HWI-D00733:75:C8DV0ANXX:2:2302:13135:5366	chr6	125682774	1	40	125682720	125682810|||HWI-D00733:75:C8DV0ANXX:2:2302:13135:5366~2~	chr6	125630446	0	35	125630443	125631628
HWI-D00733:75:C8DV0ANXX:2:2306:2191:13511	chr1	114067588	1	75	114067508	114067704
HWI-D00733:75:C8DV0ANXX:3:1115:10500:65542	chr19	43023455	1	20	43023080	43023471|||HWI-D00733:75:C8DV0ANXX:3:1115:10500:65542~2~	chr6	39426142	0	55	39426139	39426473
HWI-D00733:75:C8DV0ANXX:3:1211:4778:60573	chr6	132284793	1	75	132284666	132284946
HWI-D00733:75:C8DV0ANXX:3:1301:14733:4095~2~	chrX	15030408	0	28	15030405	15030438
HWI-D00733:75:C8DV0ANXX:3:1306:16377:16881	chr9	24956915	1	75	24956444	24958209
HWI-D00733:75:C8DV0ANXX:3:1315:5230:68133	chr4	138954519	1	24	138954307	138954539|||HWI-D00733:75:C8DV0ANXX:3:1315:5230:68133~2~	chr4	140407322	0	51	140407319	140407748
