# Chromosome lengths (order matters):
# CRM chr1	195471971
# CRM chr2	182113224
# CRM chr3	160039680
# CRM chr4	156508116
# CRM chr5	151834684
# CRM chr6	149736546
# CRM chr7	145441459
# CRM chr8	129401213
# CRM chr9	124595110
# CRM chr10	130694993
# CRM chr11	122082543
# CRM chr12	120129022
# CRM chr13	120421639
# CRM chr14	124902244
# CRM chr15	104043685
# CRM chr16	98207768
# CRM chr17	94987271
# CRM chr18	90702639
# CRM chr19	61431566
# CRM chrX	171031299
# CRM chrY	91744698
# CRM chrM	16299
# Mapped	reads count by iteration
# MAPPED 1 35
# MAPPED 2 62
HWI-D00733:75:C8DV0ANXX:1:1105:2070:78056	chr13	90570762	0	75	90570629	90571189
HWI-D00733:75:C8DV0ANXX:1:1109:7361:12468	chr4	117485394	1	75	117485217	117485606
HWI-D00733:75:C8DV0ANXX:1:1114:18354:49945	chr10	17517482	0	75	17516897	17518449
HWI-D00733:75:C8DV0ANXX:1:1203:12920:84569	chr15	35828196	1	71	35827735	35828472
HWI-D00733:75:C8DV0ANXX:1:1209:6426:86190	chr12	86358270	0	75	86358044	86358427
HWI-D00733:75:C8DV0ANXX:1:1307:7614:7609	chr3	82142834	0	75	82142733	82143077
HWI-D00733:75:C8DV0ANXX:1:1312:10372:79510	chr9	47070482	1	75	47068983	47070549
HWI-D00733:75:C8DV0ANXX:1:1312:8488:53175	chr18	5322286	0	53	5322234	5322475|||HWI-D00733:75:C8DV0ANXX:1:1312:8488:53175~2~	chr18	65877352	1	22	65877352	65877375
HWI-D00733:75:C8DV0ANXX:1:2102:14471:82767	chr13	47915772	1	20	47915311	47915788|||HWI-D00733:75:C8DV0ANXX:1:2102:14471:82767~2~	chr10	5028065	1	52	5028065	5028389
HWI-D00733:75:C8DV0ANXX:1:2106:9326:15570	chr15	15491381	1	75	15491312	15491477
HWI-D00733:75:C8DV0ANXX:1:2109:16385:59135	chr5	64373997	1	75	64373925	64374012
HWI-D00733:75:C8DV0ANXX:1:2109:17388:61628	chr4	28220360	0	75	28220259	28220711
HWI-D00733:75:C8DV0ANXX:1:2110:21057:17436	chr3	136226814	0	75	136226593	136227662
